#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">Jury</h1>  <p align="center"> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/pyversions/jury" alt="Python versions"></a> <a href="https://pepy.tech/project/jury"><img src="https://pepy.tech/badge/jury" alt="downloads"></a> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/v/jury?
1-1	0-1	<	*[523]|*[775]	SOFTWARE[523]|SOFTWARE[775]
13-41	3282-3283	-	*[775]	SOFTWARE[775]
13-42	3283-3284	-	*[775]	SOFTWARE[775]
13-43	3284-3285	-	*[775]	SOFTWARE[775]
13-44	3285-3286	-	*[775]	SOFTWARE[775]
13-45	3286-3287	-	*[775]	SOFTWARE[775]
13-46	3287-3288	-	*[775]	SOFTWARE[775]
13-47	3288-3289	-	*[775]	SOFTWARE[775]
13-48	3289-3290	-	*[775]	SOFTWARE[775]
13-49	3290-3291	-	*[775]	SOFTWARE[775]
13-50	3291-3292	-	*[775]	SOFTWARE[775]
13-51	3292-3293	-	*[775]	SOFTWARE[775]
13-52	3293-3294	-	*[775]	SOFTWARE[775]
13-53	3294-3295	-	*[775]	SOFTWARE[775]
13-54	3295-3296	-	*[775]	SOFTWARE[775]
13-55	3296-3297	-	*[775]	SOFTWARE[775]
13-56	3297-3298	-	*[775]	SOFTWARE[775]
13-57	3298-3299	-	*[775]	SOFTWARE[775]
13-58	3299-3300	-	*[775]	SOFTWARE[775]
13-59	3300-3301	-	*[775]	SOFTWARE[775]
13-60	3301-3302	-	*[775]	SOFTWARE[775]
13-61	3302-3303	-	*[775]	SOFTWARE[775]
13-62	3303-3304	-	*[775]	SOFTWARE[775]
13-63	3304-3305	-	*[775]	SOFTWARE[775]
13-64	3305-3306	-	*[775]	SOFTWARE[775]
13-65	3306-3307	-	*[775]	SOFTWARE[775]
13-66	3307-3308	-	*[775]	SOFTWARE[775]
13-67	3308-3309	-	*[775]	SOFTWARE[775]
13-68	3309-3310	-	*[775]	SOFTWARE[775]
13-69	3310-3311	-	*[775]	SOFTWARE[775]
13-70	3311-3312	-	*[775]	SOFTWARE[775]
13-71	3312-3313	-	*[775]	SOFTWARE[775]
13-72	3313-3314	-	*[775]	SOFTWARE[775]
13-73	3314-3315	-	*[775]	SOFTWARE[775]
13-74	3315-3316	-	*[775]	SOFTWARE[775]
13-75	3316-3317	-	*[775]	SOFTWARE[775]
13-76	3317-3318	-	*[775]	SOFTWARE[775]
13-77	3318-3319	-	*[775]	SOFTWARE[775]
13-78	3319-3320	-	*[775]	SOFTWARE[775]
13-79	3320-3321	-	*[775]	SOFTWARE[775]
13-80	3321-3322	-	*[775]	SOFTWARE[775]
13-81	3322-3323	-	*[775]	SOFTWARE[775]
13-82	3323-3324	-	*[775]	SOFTWARE[775]
13-83	3324-3325	-	*[775]	SOFTWARE[775]
13-84	3325-3326	-	*[775]	SOFTWARE[775]
13-85	3326-3327	-	*[775]	SOFTWARE[775]
13-86	3327-3328	-	*[775]	SOFTWARE[775]
13-87	3328-3329	-	*[775]	SOFTWARE[775]
13-88	3329-3330	-	*[775]	SOFTWARE[775]
13-89	3330-3331	-	*[775]	SOFTWARE[775]
13-90	3331-3332	-	*[775]	SOFTWARE[775]
13-91	3332-3333	-	*[775]	SOFTWARE[775]
13-92	3333-3334	\|	*[775]	SOFTWARE[775]
13-93	3334-3335	-	*[775]	SOFTWARE[775]
13-94	3335-3336	-	*[775]	SOFTWARE[775]
13-95	3336-3337	-	*[775]	SOFTWARE[775]
13-96	3337-3338	-	*[775]	SOFTWARE[775]
13-97	3338-3339	-	*[775]	SOFTWARE[775]
13-98	3339-3340	-	*[775]	SOFTWARE[775]
13-99	3340-3341	-	*[775]	SOFTWARE[775]
13-100	3341-3342	-	*[775]	SOFTWARE[775]
13-101	3342-3343	-	*[775]	SOFTWARE[775]
13-102	3343-3344	-	*[775]	SOFTWARE[775]
13-103	3344-3345	-	*[775]	SOFTWARE[775]
13-104	3345-3346	-	*[775]	SOFTWARE[775]
13-105	3346-3347	-	*[775]	SOFTWARE[775]
13-106	3347-3348	-	*[775]	SOFTWARE[775]
13-107	3348-3349	-	*[775]	SOFTWARE[775]
13-108	3349-3350	-	*[775]	SOFTWARE[775]
13-109	3350-3351	-	*[775]	SOFTWARE[775]
13-110	3351-3352	-	*[775]	SOFTWARE[775]
13-111	3352-3353	-	*[775]	SOFTWARE[775]
13-112	3353-3354	-	*[775]	SOFTWARE[775]
13-113	3354-3355	\|	*[775]	SOFTWARE[775]
13-114	3355-3356	-	*[775]	SOFTWARE[775]
13-115	3356-3357	-	*[775]	SOFTWARE[775]
13-116	3357-3358	-	*[775]	SOFTWARE[775]
13-117	3358-3359	-	*[775]	SOFTWARE[775]
13-118	3359-3360	-	*[775]	SOFTWARE[775]
13-119	3360-3361	-	*[775]	SOFTWARE[775]
13-120	3361-3362	-	*[775]	SOFTWARE[775]
13-121	3362-3363	-	*[775]	SOFTWARE[775]
13-122	3363-3364	-	*[775]	SOFTWARE[775]
13-123	3364-3365	-	*[775]	SOFTWARE[775]
13-124	3365-3366	-	*[775]	SOFTWARE[775]
13-125	3366-3367	-	*[775]	SOFTWARE[775]
13-126	3367-3368	-	*[775]	SOFTWARE[775]
13-127	3368-3369	-	*[775]	SOFTWARE[775]
13-128	3369-3370	-	*[775]	SOFTWARE[775]
13-129	3370-3371	-	*[775]	SOFTWARE[775]
13-130	3371-3372	-	*[775]	SOFTWARE[775]
13-131	3372-3373	-	*[775]	SOFTWARE[775]
13-132	3373-3374	-	*[775]	SOFTWARE[775]
13-133	3374-3375	-	*[775]	SOFTWARE[775]
13-134	3375-3376	-	*[775]	SOFTWARE[775]
13-135	3376-3377	\|	*[775]	SOFTWARE[775]
13-136	3378-3379	\|	*[775]	SOFTWARE[775]
13-137	3380-3396	Accuracy-Numeric	*[775]	SOFTWARE[775]
13-138	3458-3459	\|	*[775]	SOFTWARE[775]
13-139	3460-3461	:	*[775]	SOFTWARE[775]
13-140	3461-3477	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-141	3477-3478	:	*[775]	SOFTWARE[775]
13-142	3479-3480	\|	*[775]	SOFTWARE[775]
13-143	3481-3482	:	*[775]	SOFTWARE[775]
13-144	3482-3498	white\_check\_mark	*[775]	SOFTWARE[775]
13-145	3498-3499	:	*[775]	SOFTWARE[775]
13-146	3501-3502	\|	*[775]	SOFTWARE[775]
13-147	3503-3504	\|	*[775]	SOFTWARE[775]
13-148	3505-3518	Accuracy-Text	*[775]	SOFTWARE[775]
13-149	3583-3584	\|	*[775]	SOFTWARE[775]
13-150	3585-3586	:	*[775]	SOFTWARE[775]
13-151	3586-3602	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-152	3602-3603	:	*[775]	SOFTWARE[775]
13-153	3604-3605	\|	*[775]	SOFTWARE[775]
13-154	3606-3607	:	*[775]	SOFTWARE[775]
13-155	3607-3608	x	*[775]	SOFTWARE[775]
13-156	3608-3609	:	*[775]	SOFTWARE[775]
13-157	3626-3627	\|	*[775]	SOFTWARE[775]
13-158	3628-3629	\|	*[775]	SOFTWARE[775]
13-159	3630-3639	Bartscore	*[775]	SOFTWARE[775]
13-160	3708-3709	\|	*[775]	SOFTWARE[775]
13-161	3710-3711	:	*[775]	SOFTWARE[775]
13-162	3711-3727	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-163	3727-3728	:	*[775]	SOFTWARE[775]
13-164	3729-3730	\|	*[775]	SOFTWARE[775]
13-165	3731-3732	:	*[775]	SOFTWARE[775]
13-166	3732-3733	x	*[775]	SOFTWARE[775]
13-167	3733-3734	:	*[775]	SOFTWARE[775]
13-168	3751-3752	\|	*[775]	SOFTWARE[775]
13-169	3753-3754	\|	*[775]	SOFTWARE[775]
13-170	3755-3764	Bertscore	*[775]	SOFTWARE[775]
13-171	3833-3834	\|	*[775]	SOFTWARE[775]
13-172	3835-3836	:	*[775]	SOFTWARE[775]
13-173	3836-3852	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-174	3852-3853	:	*[775]	SOFTWARE[775]
13-175	3854-3855	\|	*[775]	SOFTWARE[775]
13-176	3856-3857	:	*[775]	SOFTWARE[775]
13-177	3857-3873	white\_check\_mark	*[775]	SOFTWARE[775]
13-178	3873-3874	:	*[775]	SOFTWARE[775]
13-179	3876-3877	\|	*[775]	SOFTWARE[775]
13-180	3878-3879	\|	*[775]	SOFTWARE[775]
13-181	3880-3884	Bleu	*[775]	SOFTWARE[775]
13-182	3958-3959	\|	*[775]	SOFTWARE[775]
13-183	3960-3961	:	*[775]	SOFTWARE[775]
13-184	3961-3977	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-185	3977-3978	:	*[775]	SOFTWARE[775]
13-186	3979-3980	\|	*[775]	SOFTWARE[775]
13-187	3981-3982	:	*[775]	SOFTWARE[775]
13-188	3982-3998	white\_check\_mark	*[775]	SOFTWARE[775]
13-189	3998-3999	:	*[775]	SOFTWARE[775]
13-190	4001-4002	\|	*[775]	SOFTWARE[775]
13-191	4003-4004	\|	*[775]	SOFTWARE[775]
13-192	4005-4011	Bleurt	*[775]	SOFTWARE[775]
13-193	4083-4084	\|	*[775]	SOFTWARE[775]
13-194	4085-4086	:	*[775]	SOFTWARE[775]
13-195	4086-4102	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-196	4102-4103	:	*[775]	SOFTWARE[775]
13-197	4104-4105	\|	*[775]	SOFTWARE[775]
13-198	4106-4107	:	*[775]	SOFTWARE[775]
13-199	4107-4123	white\_check\_mark	*[775]	SOFTWARE[775]
13-200	4123-4124	:	*[775]	SOFTWARE[775]
13-201	4126-4127	\|	*[775]	SOFTWARE[775]
13-202	4128-4129	\|	*[775]	SOFTWARE[775]
13-203	4130-4133	CER	*[775]	SOFTWARE[775]
13-204	4208-4209	\|	*[775]	SOFTWARE[775]
13-205	4210-4211	:	*[775]	SOFTWARE[775]
13-206	4211-4227	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-207	4227-4228	:	*[775]	SOFTWARE[775]
13-208	4229-4230	\|	*[775]	SOFTWARE[775]
13-209	4231-4232	:	*[775]	SOFTWARE[775]
13-210	4232-4248	white\_check\_mark	*[775]	SOFTWARE[775]
13-211	4248-4249	:	*[775]	SOFTWARE[775]
13-212	4251-4252	\|	*[775]	SOFTWARE[775]
13-213	4253-4254	\|	*[775]	SOFTWARE[775]
13-214	4255-4259	CHRF	*[775]	SOFTWARE[775]
13-215	4333-4334	\|	*[775]	SOFTWARE[775]
13-216	4335-4336	:	*[775]	SOFTWARE[775]
13-217	4336-4352	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-218	4352-4353	:	*[775]	SOFTWARE[775]
13-219	4354-4355	\|	*[775]	SOFTWARE[775]
13-220	4356-4357	:	*[775]	SOFTWARE[775]
13-221	4357-4373	white\_check\_mark	*[775]	SOFTWARE[775]
13-222	4373-4374	:	*[775]	SOFTWARE[775]
13-223	4376-4377	\|	*[775]	SOFTWARE[775]
13-224	4378-4379	\|	*[775]	SOFTWARE[775]
13-225	4380-4385	COMET	*[775]	SOFTWARE[775]
13-226	4458-4459	\|	*[775]	SOFTWARE[775]
13-227	4460-4461	:	*[775]	SOFTWARE[775]
13-228	4461-4477	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-229	4477-4478	:	*[775]	SOFTWARE[775]
13-230	4479-4480	\|	*[775]	SOFTWARE[775]
13-231	4481-4482	:	*[775]	SOFTWARE[775]
13-232	4482-4498	white\_check\_mark	*[775]	SOFTWARE[775]
13-233	4498-4499	:	*[775]	SOFTWARE[775]
13-234	4501-4502	\|	*[775]	SOFTWARE[775]
13-235	4503-4504	\|	*[775]	SOFTWARE[775]
13-236	4505-4507	F1	*[775]	SOFTWARE[775]
13-237	4507-4508	-	*[775]	SOFTWARE[775]
13-238	4508-4515	Numeric	*[775]	SOFTWARE[775]
13-239	4583-4584	\|	*[775]	SOFTWARE[775]
13-240	4585-4586	:	*[775]	SOFTWARE[775]
13-241	4586-4602	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-242	4602-4603	:	*[775]	SOFTWARE[775]
13-243	4604-4605	\|	*[775]	SOFTWARE[775]
13-244	4606-4607	:	*[775]	SOFTWARE[775]
13-245	4607-4623	white\_check\_mark	*[775]	SOFTWARE[775]
13-246	4623-4624	:	*[775]	SOFTWARE[775]
13-247	4626-4627	\|	*[775]	SOFTWARE[775]
13-248	4628-4629	\|	*[775]	SOFTWARE[775]
13-249	4630-4632	F1	*[775]	SOFTWARE[775]
13-250	4632-4633	-	*[775]	SOFTWARE[775]
13-251	4633-4637	Text	*[775]	SOFTWARE[775]
13-252	4708-4709	\|	*[775]	SOFTWARE[775]
13-253	4710-4711	:	*[775]	SOFTWARE[775]
13-254	4711-4727	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-255	4727-4728	:	*[775]	SOFTWARE[775]
13-256	4729-4730	\|	*[775]	SOFTWARE[775]
13-257	4731-4732	:	*[775]	SOFTWARE[775]
13-258	4732-4733	x	*[775]	SOFTWARE[775]
13-259	4733-4734	:	*[775]	SOFTWARE[775]
13-260	4751-4752	\|	*[775]	SOFTWARE[775]
13-261	4753-4754	\|	*[775]	SOFTWARE[775]
13-262	4755-4761	METEOR	*[775]	SOFTWARE[775]
13-263	4833-4834	\|	*[775]	SOFTWARE[775]
13-264	4835-4836	:	*[775]	SOFTWARE[775]
13-265	4836-4852	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-266	4852-4853	:	*[775]	SOFTWARE[775]
13-267	4854-4855	\|	*[775]	SOFTWARE[775]
13-268	4856-4857	:	*[775]	SOFTWARE[775]
13-269	4857-4873	white\_check\_mark	*[775]	SOFTWARE[775]
13-270	4873-4874	:	*[775]	SOFTWARE[775]
13-271	4876-4877	\|	*[775]	SOFTWARE[775]
13-272	4878-4879	\|	*[775]	SOFTWARE[775]
13-273	4880-4897	Precision-Numeric	*[775]	SOFTWARE[775]
13-274	4958-4959	\|	*[775]	SOFTWARE[775]
13-275	4960-4961	:	*[775]	SOFTWARE[775]
13-276	4961-4977	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-277	4977-4978	:	*[775]	SOFTWARE[775]
13-278	4979-4980	\|	*[775]	SOFTWARE[775]
13-279	4981-4982	:	*[775]	SOFTWARE[775]
13-280	4982-4998	white\_check\_mark	*[775]	SOFTWARE[775]
13-281	4998-4999	:	*[775]	SOFTWARE[775]
13-282	5001-5002	\|	*[775]	SOFTWARE[775]
13-283	5003-5004	\|	*[775]	SOFTWARE[775]
13-284	5005-5019	Precision-Text	*[775]	SOFTWARE[775]
13-285	5083-5084	\|	*[775]	SOFTWARE[775]
13-286	5085-5086	:	*[775]	SOFTWARE[775]
13-287	5086-5102	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-288	5102-5103	:	*[775]	SOFTWARE[775]
13-289	5104-5105	\|	*[775]	SOFTWARE[775]
13-290	5106-5107	:	*[775]	SOFTWARE[775]
13-291	5107-5108	x	*[775]	SOFTWARE[775]
13-292	5108-5109	:	*[775]	SOFTWARE[775]
13-293	5126-5127	\|	*[775]	SOFTWARE[775]
13-294	5128-5129	\|	*[775]	SOFTWARE[775]
13-295	5130-5135	Prism	*[775]	SOFTWARE[775]
13-296	5208-5209	\|	*[775]	SOFTWARE[775]
13-297	5210-5211	:	*[775]	SOFTWARE[775]
13-298	5211-5227	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-299	5227-5228	:	*[775]	SOFTWARE[775]
13-300	5229-5230	\|	*[775]	SOFTWARE[775]
13-301	5231-5232	:	*[775]	SOFTWARE[775]
13-302	5232-5233	x	*[775]	SOFTWARE[775]
13-303	5233-5234	:	*[775]	SOFTWARE[775]
13-304	5251-5252	\|	*[775]	SOFTWARE[775]
13-305	5253-5254	\|	*[775]	SOFTWARE[775]
13-306	5255-5269	Recall-Numeric	*[775]	SOFTWARE[775]
13-307	5333-5334	\|	*[775]	SOFTWARE[775]
13-308	5335-5336	:	*[775]	SOFTWARE[775]
13-309	5336-5352	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-310	5352-5353	:	*[775]	SOFTWARE[775]
13-311	5354-5355	\|	*[775]	SOFTWARE[775]
13-312	5356-5357	:	*[775]	SOFTWARE[775]
13-313	5357-5373	white\_check\_mark	*[775]	SOFTWARE[775]
13-314	5373-5374	:	*[775]	SOFTWARE[775]
13-315	5376-5377	\|	*[775]	SOFTWARE[775]
13-316	5378-5379	\|	*[775]	SOFTWARE[775]
13-317	5380-5391	Recall-Text	*[775]	SOFTWARE[775]
13-318	5458-5459	\|	*[775]	SOFTWARE[775]
13-319	5460-5461	:	*[775]	SOFTWARE[775]
13-320	5461-5477	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-321	5477-5478	:	*[775]	SOFTWARE[775]
13-322	5479-5480	\|	*[775]	SOFTWARE[775]
13-323	5481-5482	:	*[775]	SOFTWARE[775]
13-324	5482-5483	x	*[775]	SOFTWARE[775]
13-325	5483-5484	:	*[775]	SOFTWARE[775]
13-326	5501-5502	\|	*[775]	SOFTWARE[775]
13-327	5503-5504	\|	*[775]	SOFTWARE[775]
13-328	5505-5510	ROUGE	*[775]	SOFTWARE[775]
13-329	5583-5584	\|	*[775]	SOFTWARE[775]
13-330	5585-5586	:	*[775]	SOFTWARE[775]
13-331	5586-5602	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-332	5602-5603	:	*[775]	SOFTWARE[775]
13-333	5604-5605	\|	*[775]	SOFTWARE[775]
13-334	5606-5607	:	*[775]	SOFTWARE[775]
13-335	5607-5623	white\_check\_mark	*[775]	SOFTWARE[775]
13-336	5623-5624	:	*[775]	SOFTWARE[775]
13-337	5626-5627	\|	*[775]	SOFTWARE[775]
13-338	5628-5629	\|	*[775]	SOFTWARE[775]
13-339	5630-5639	SacreBleu	*[775]	SOFTWARE[775]
13-340	5708-5709	\|	*[775]	SOFTWARE[775]
13-341	5710-5711	:	*[775]	SOFTWARE[775]
13-342	5711-5727	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-343	5727-5728	:	*[775]	SOFTWARE[775]
13-344	5729-5730	\|	*[775]	SOFTWARE[775]
13-345	5731-5732	:	*[775]	SOFTWARE[775]
13-346	5732-5748	white\_check\_mark	*[775]	SOFTWARE[775]
13-347	5748-5749	:	*[775]	SOFTWARE[775]
13-348	5751-5752	\|	*[775]	SOFTWARE[775]
13-349	5753-5754	\|	*[775]	SOFTWARE[775]
13-350	5755-5762	Seqeval	*[775]	SOFTWARE[775]
13-351	5833-5834	\|	*[775]	SOFTWARE[775]
13-352	5835-5836	:	*[775]	SOFTWARE[775]
13-353	5836-5852	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-354	5852-5853	:	*[775]	SOFTWARE[775]
13-355	5854-5855	\|	*[775]	SOFTWARE[775]
13-356	5856-5857	:	*[775]	SOFTWARE[775]
13-357	5857-5873	white\_check\_mark	*[775]	SOFTWARE[775]
13-358	5873-5874	:	*[775]	SOFTWARE[775]
13-359	5876-5877	\|	*[775]	SOFTWARE[775]
13-360	5878-5879	\|	*[775]	SOFTWARE[775]
13-361	5880-5885	Squad	*[775]	SOFTWARE[775]
13-362	5958-5959	\|	*[775]	SOFTWARE[775]
13-363	5960-5961	:	*[775]	SOFTWARE[775]
13-364	5961-5977	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-365	5977-5978	:	*[775]	SOFTWARE[775]
13-366	5979-5980	\|	*[775]	SOFTWARE[775]
13-367	5981-5982	:	*[775]	SOFTWARE[775]
13-368	5982-5998	white\_check\_mark	*[775]	SOFTWARE[775]
13-369	5998-5999	:	*[775]	SOFTWARE[775]
13-370	6001-6002	\|	*[775]	SOFTWARE[775]
13-371	6003-6004	\|	*[775]	SOFTWARE[775]
13-372	6005-6008	TER	*[775]	SOFTWARE[775]
13-373	6083-6084	\|	*[775]	SOFTWARE[775]
13-374	6085-6086	:	*[775]	SOFTWARE[775]
13-375	6086-6102	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-376	6102-6103	:	*[775]	SOFTWARE[775]
13-377	6104-6105	\|	*[775]	SOFTWARE[775]
13-378	6106-6107	:	*[775]	SOFTWARE[775]
13-379	6107-6123	white\_check\_mark	*[775]	SOFTWARE[775]
13-380	6123-6124	:	*[775]	SOFTWARE[775]
13-381	6126-6127	\|	*[775]	SOFTWARE[775]
13-382	6128-6129	\|	*[775]	SOFTWARE[775]
13-383	6130-6133	WER	*[775]	SOFTWARE[775]
13-384	6208-6209	\|	*[775]	SOFTWARE[775]
13-385	6210-6211	:	*[775]	SOFTWARE[775]
13-386	6211-6227	heavy\_check\_mark	*[775]	SOFTWARE[775]
13-387	6227-6228	:	*[775]	SOFTWARE[775]
13-388	6229-6230	\|	*[775]	SOFTWARE[775]
13-389	6231-6232	:	*[775]	SOFTWARE[775]
13-390	6232-6248	white\_check\_mark	*[775]	SOFTWARE[775]
13-391	6248-6249	:	*[775]	SOFTWARE[775]
13-392	6251-6252	\|	*[775]	SOFTWARE[775]
13-393	6253-6254	\|	*[775]	SOFTWARE[775]
13-394	6255-6256	\[	*[775]	SOFTWARE[775]
13-395	6256-6261	Other	*[775]	SOFTWARE[775]
13-396	6262-6269	metrics	*[775]	SOFTWARE[775]
13-397	6269-6270	\]	*[775]	SOFTWARE[775]
13-398	6270-6271	(	*[775]	SOFTWARE[775]
13-399	6271-6276	https	*[775]	SOFTWARE[775]
13-400	6276-6277	:	*[775]	SOFTWARE[775]
13-401	6277-6278	/	*[775]	SOFTWARE[775]
13-402	6278-6279	/	*[775]	SOFTWARE[775]
13-403	6279-6289	github.com	*[775]	SOFTWARE[775]
13-404	6289-6290	/	*[775]	SOFTWARE[775]
13-405	6290-6301	huggingface	*[775]	SOFTWARE[775]
13-406	6301-6302	/	*[775]	SOFTWARE[775]
13-407	6302-6310	evaluate	*[775]	SOFTWARE[775]
13-408	6310-6311	/	*[775]	SOFTWARE[775]
13-409	6311-6315	tree	*[775]	SOFTWARE[775]
13-410	6315-6316	/	*[775]	SOFTWARE[775]
13-411	6316-6322	master	*[775]	SOFTWARE[775]
13-412	6322-6323	/	*[775]	SOFTWARE[775]
13-413	6323-6330	metrics	*[775]	SOFTWARE[775]
13-414	6330-6331	)	*[775]	SOFTWARE[775]
13-415	6331-6332	\*	*[775]	SOFTWARE[775]
13-416	6333-6334	\|	*[775]	SOFTWARE[775]
13-417	6335-6336	:	*[775]	SOFTWARE[775]
13-418	6336-6352	white\_check\_mark	*[775]	SOFTWARE[775]
13-419	6352-6353	:	*[775]	SOFTWARE[775]
13-420	6354-6355	\|	*[775]	SOFTWARE[775]
13-421	6356-6357	:	*[775]	SOFTWARE[775]
13-422	6357-6373	white\_check\_mark	*[775]	SOFTWARE[775]
13-423	6373-6374	:	*[775]	SOFTWARE[775]
13-424	6376-6377	\|	*[775]	SOFTWARE[775]
13-425	6379-6380	\_	*[775]	SOFTWARE[775]
13-426	6380-6381	\*	*[775]	SOFTWARE[775]
13-427	6381-6382	\_	*[775]	SOFTWARE[775]
13-428	6383-6394	Placeholder	*[775]	SOFTWARE[775]
13-429	6395-6398	for	*[775]	SOFTWARE[775]
13-430	6399-6402	the	*[775]	SOFTWARE[775]
13-431	6403-6407	rest	*[775]	SOFTWARE[775]
13-432	6408-6410	of	*[775]	SOFTWARE[775]
13-433	6411-6414	the	*[775]	SOFTWARE[775]
13-434	6415-6422	metrics	*[775]	SOFTWARE[775]
13-435	6423-6432	available	*[775]	SOFTWARE[775]
13-436	6433-6435	in	*[775]	SOFTWARE[775]
13-437	6436-6437	`	*[775]	SOFTWARE[775]
13-438	6437-6445	evaluate	*[775]	SOFTWARE[775]
13-439	6445-6446	`	*[775]	SOFTWARE[775]
13-440	6447-6454	package	*[775]	SOFTWARE[775]
13-441	6455-6460	apart	*[775]	SOFTWARE[775]
13-442	6461-6465	from	*[775]	SOFTWARE[775]
13-443	6466-6471	those	*[775]	SOFTWARE[775]
13-444	6472-6477	which	*[775]	SOFTWARE[775]
13-445	6478-6481	are	*[775]	SOFTWARE[775]
13-446	6482-6489	present	*[775]	SOFTWARE[775]
13-447	6490-6492	in	*[775]	SOFTWARE[775]
13-448	6493-6496	the	*[775]	SOFTWARE[775]
13-449	6498-6503	table	*[775]	SOFTWARE[775]
13-450	6503-6504	.	*[775]	SOFTWARE[775]

#Text=\*\*Notes\*\*  \* The entry :heavy\_check\_mark: represents that full Jury support is available meaning that all combinations of input  types (single prediction & single reference, single prediction & multiple references, multiple predictions & multiple  references) are supported  \* The entry :white\_check\_mark: means that this metric is supported (for Jury through the `evaluate`), so that it  can (and should) be used just like the `evaluate` metric as instructed in `evaluate` implementation although  unfortunately full Jury support for those metrics are not yet available.  ## Request for a New Metric  For the request of a new metric please \[open an issue\](https://github.com/obss/jury/issues/new?
14-1	6507-6508	\*	*[775]	SOFTWARE[775]
14-2	6508-6509	\*	*[775]	SOFTWARE[775]
14-3	6509-6514	Notes	*[775]	SOFTWARE[775]
14-4	6514-6515	\*	*[775]	SOFTWARE[775]
14-5	6515-6516	\*	*[775]	SOFTWARE[775]
14-6	6518-6519	\*	*[775]	SOFTWARE[775]
14-7	6520-6523	The	*[775]	SOFTWARE[775]
14-8	6524-6529	entry	*[775]	SOFTWARE[775]
14-9	6530-6531	:	*[775]	SOFTWARE[775]
14-10	6531-6547	heavy\_check\_mark	*[775]	SOFTWARE[775]
14-11	6547-6548	:	*[775]	SOFTWARE[775]
14-12	6549-6559	represents	*[775]	SOFTWARE[775]
14-13	6560-6564	that	*[775]	SOFTWARE[775]
14-14	6565-6569	full	*[775]	SOFTWARE[775]
14-15	6570-6574	Jury	*[775]	SOFTWARE[775]
14-16	6575-6582	support	*[775]	SOFTWARE[775]
14-17	6583-6585	is	*[775]	SOFTWARE[775]
14-18	6586-6595	available	*[775]	SOFTWARE[775]
14-19	6596-6603	meaning	*[775]	SOFTWARE[775]
14-20	6604-6608	that	*[775]	SOFTWARE[775]
14-21	6609-6612	all	*[775]	SOFTWARE[775]
14-22	6613-6625	combinations	*[775]	SOFTWARE[775]
14-23	6626-6628	of	*[775]	SOFTWARE[775]
14-24	6629-6634	input	*[775]	SOFTWARE[775]
14-25	6636-6641	types	*[775]	SOFTWARE[775]
14-26	6642-6643	(	*[775]	SOFTWARE[775]
14-27	6643-6649	single	*[775]	SOFTWARE[775]
14-28	6650-6660	prediction	*[775]	SOFTWARE[775]
14-29	6661-6662	&	*[775]	SOFTWARE[775]
14-30	6663-6669	single	*[775]	SOFTWARE[775]
14-31	6670-6679	reference	*[775]	SOFTWARE[775]
14-32	6679-6680	,	*[775]	SOFTWARE[775]
14-33	6681-6687	single	*[775]	SOFTWARE[775]
14-34	6688-6698	prediction	*[775]	SOFTWARE[775]
14-35	6699-6700	&	*[775]	SOFTWARE[775]
14-36	6701-6709	multiple	*[775]	SOFTWARE[775]
14-37	6710-6720	references	*[775]	SOFTWARE[775]
14-38	6720-6721	,	*[775]	SOFTWARE[775]
14-39	6722-6730	multiple	*[775]	SOFTWARE[775]
14-40	6731-6742	predictions	*[775]	SOFTWARE[775]
14-41	6743-6744	&	*[775]	SOFTWARE[775]
14-42	6745-6753	multiple	*[775]	SOFTWARE[775]
14-43	6755-6765	references	*[775]	SOFTWARE[775]
14-44	6765-6766	)	*[775]	SOFTWARE[775]
14-45	6767-6770	are	*[775]	SOFTWARE[775]
14-46	6771-6780	supported	*[775]	SOFTWARE[775]
14-47	6782-6783	\*	*[775]	SOFTWARE[775]
14-48	6784-6787	The	*[775]	SOFTWARE[775]
14-49	6788-6793	entry	*[775]	SOFTWARE[775]
14-50	6794-6795	:	*[775]	SOFTWARE[775]
