#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[507]|*[523]|*[534]	DATASET[507]|ONTOLOGY[507]|WORKSHOP[507]|PROJECT[507]|LICENSE[507]|PUBLICATION[507]|EVALMETRIC[507]|PROGLANG[507]|SOFTWARE[523]|CONFERENCE[534]
5-75	1095-1098	The	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-76	1099-1107	datasets	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-77	1108-1111	can	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-78	1112-1114	be	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-79	1115-1125	downloaded	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-80	1126-1130	from	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-81	1131-1132	\[	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-82	1132-1136	Cora	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-83	1136-1137	\]	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-84	1137-1138	(	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-85	1138-1143	https	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-86	1143-1144	:	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-87	1144-1145	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-88	1145-1146	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-89	1146-1168	relational.fit.cvut.cz	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-90	1168-1169	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-91	1169-1176	dataset	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-92	1176-1177	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-93	1177-1181	CORA	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-94	1181-1182	)	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-95	1182-1183	,	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-96	1184-1185	\[	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-97	1185-1193	Citeseer	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-98	1193-1194	\]	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-99	1194-1195	(	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-100	1195-1200	https	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-101	1200-1201	:	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-102	1201-1202	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-103	1202-1203	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-104	1203-1221	linqs.soe.ucsc.edu	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-105	1221-1222	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-106	1222-1226	data	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-107	1226-1227	)	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-108	1227-1228	,	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-109	1229-1230	\[	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-110	1230-1236	Pubmed	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-111	1236-1237	\]	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-112	1237-1238	(	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-113	1238-1243	https	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-114	1243-1244	:	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-115	1244-1245	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-116	1245-1246	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-117	1246-1264	linqs.soe.ucsc.edu	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-118	1264-1265	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-119	1265-1269	data	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-120	1269-1270	)	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-121	1271-1274	and	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-122	1275-1276	\[	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-123	1276-1280	DBLP	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-124	1280-1281	\]	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-125	1281-1282	(	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-126	1282-1287	https	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-127	1287-1288	:	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-128	1288-1289	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-129	1289-1290	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-130	1290-1303	www.aminer.cn	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-131	1303-1304	/	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-132	1304-1312	citation	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-133	1312-1313	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-134	1313-1317	b541	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-135	1317-1318	)	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-136	1318-1319	.	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]

#Text=Take Cora dataset as an example:  - make a folder called \*\*dataset\*\* at root directory
6-1	1320-1324	Take	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-2	1325-1329	Cora	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-3	1330-1337	dataset	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-4	1338-1340	as	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-5	1341-1343	an	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-6	1344-1351	example	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-7	1351-1352	:	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-8	1354-1355	-	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-9	1356-1360	make	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-10	1361-1362	a	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-11	1363-1369	folder	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-12	1370-1376	called	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-13	1377-1378	\*	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-14	1378-1379	\*	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-15	1379-1386	dataset	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-16	1386-1387	\*	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-17	1387-1388	\*	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-18	1389-1391	at	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-19	1392-1396	root	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]
6-20	1397-1406	directory	*[513]|*[529]	DATASET[513]|PROGLANG[513]|CONFERENCE[513]|WORKSHOP[513]|ONTOLOGY[513]|PUBLICATION[513]|PROJECT[513]|LICENSE[513]|EVALMETRIC[513]|SOFTWARE[529]

#Text=.
7-1	1406-1407	.	*[514]|*[530]	CONFERENCE[514]|ONTOLOGY[514]|WORKSHOP[514]|LICENSE[514]|PUBLICATION[514]|EVALMETRIC[514]|PROJECT[514]|PROGLANG[514]|DATASET[514]|SOFTWARE[530]

#Text=- make a folder called \*\*cora\*\* in \*\*dataset\*\* directory
8-1	1409-1410	-	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-2	1411-1415	make	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-3	1416-1417	a	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-4	1418-1424	folder	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-5	1425-1431	called	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-6	1432-1433	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-7	1433-1434	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-8	1434-1438	cora	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-9	1438-1439	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-10	1439-1440	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-11	1441-1443	in	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-12	1444-1445	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-13	1445-1446	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-14	1446-1453	dataset	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-15	1453-1454	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-16	1454-1455	\*	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]
8-17	1456-1465	directory	*[515]|*[531]	PROJECT[515]|LICENSE[515]|EVALMETRIC[515]|WORKSHOP[515]|PROGLANG[515]|CONFERENCE[515]|DATASET[515]|ONTOLOGY[515]|PUBLICATION[515]|SOFTWARE[531]

#Text=.
9-1	1465-1466	.	*[516]|*[532]	DATASET[516]|PROGLANG[516]|ONTOLOGY[516]|CONFERENCE[516]|WORKSHOP[516]|LICENSE[516]|PUBLICATION[516]|EVALMETRIC[516]|PROJECT[516]|SOFTWARE[532]

#Text=- \*\*Cora\*\* folder contains four files:    - "edge.cora": each line represents a edge between two nodes with the follwing format:      ```     1397 1470     1397 362     ... ...     ```    - "feature.cora": each line represents the features (e.g., one-hot feature) of nodes with the following format:      ```     0 0 0 0 1 0 0 0,...,0     0 1 0 1 0 0 0 0,...,0     ...     ```    - "train.cora": each line represents the node ID in training set with the following format:      ```     0     2     ...     ```    - "test.cora": each line represents the node ID in test set with the following format:      ```     2159     2160     ...     ```  ### \*Example Usage\*  ``` cd ImGAGN python train.py ```  ## Citation  ``` @misc{qu2021imgagnimbalanced,       title={ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks},        author={Liang Qu and Huaisheng Zhu and Ruiqi Zheng and Yuhui Shi and Hongzhi Yin},       year={2021},       eprint={2106.02817},       archivePrefix={arXiv},       primaryClass={cs.LG} } ```
10-1	1468-1469	-	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-2	1470-1471	\*	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-3	1471-1472	\*	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
